Package,Name,Version,Architecture
a1,A1,1.8.4-beta3,iphoneos-arm64e
cn.Bswbw.fixsets,FixSet,1.1,iphoneos-arm64e
cn.sunshinesong.split-view-pro,split-view-pro,1.1.6,iphoneos-arm64e
cn.wkk.tmts,全局透明Max,1.2,iphoneos-arm64e
cn.zqbb.appdata,Hello AppData,1.3.6-9,iphoneos-arm64e
cn.zqbb.fix120hz,Hello 120Hz,3.2.0-1,iphoneos-arm64e
cn.zqbb.orzfolder,Hello Folder,1.3.3-2,iphoneos-arm64e
com.0xkuj.safarix,SafariX,1.9.9.1,iphoneos-arm64e
com.25mao.miyou.rootless,微信助手,3.8-9,iphoneos-arm64e
com.25mao.msgfilt,消息屏蔽助手,1.0-5.1,iphoneos-arm64e
com.25mao.wcpluginss,微信插件管理,0.1-3+,iphoneos-arm64e
com.be-huge.floating-view,floatingView,1.5.8,iphoneos-arm64e
com.blbl,哔哩哔哩净化,1.0,iphoneos-arm64e
com.curtin.pkc,PKC,0.8-7,iphoneos-arm64e
com.cydiageek.morelinesnotifications,MoreLinesNotifications,1.0.5,iphoneos-arm64e
com.dvntm.fbo,FilesBrowsingOnly,0.0.1,iphoneos-arm64e
com.dvntm.silentnotifs,SilentNotifs,0.0.2,iphoneos-arm64e
com.HBWechatHelper.ailun,黄白助手,2.0.1,iphoneos-arm64
com.hidenotificationbadge,HideNotificationBadge,0.0.1,iphoneos-arm64e
com.huayuarc.lsilllooklater,来通知不亮屏,0.0.1,iphoneos-arm64e
com.hw.zgnyyh,农业银行NoJB,0.0.1,iphoneos-arm64
com.lhyee.wcfix,fix图标错位,1.0,iphoneos-arm64
com.liuf.jpyj,系统键盘圆角,0.0.1,iphoneos-arm64e
com.mikotohelper.wechat,Mikoto助手,1.3.6-V7,iphoneos-arm64
com.nan.debd2,debd（自用）,0.1,iphoneos-arm64e
com.netskao.dumpdecrypter,DumpDecrypter,1.5-1,iphoneos-arm64e
com.netskao.wechatdragdropimages,WeChatDragDropImages,1.1-2,iphoneos-arm64e
com.netskao.wechatnotiavatar,WeChatNotiAvatar,1.3-1,iphoneos-arm64e
com.opa334.trollstorehelper,TrollStore Helper,2.1,iphoneos-arm64e
com.picsewpro,PicsewPro,1.0.0,iphoneos-arm64e
com.pingfan.wechat,虚拟视频,2.2-1,iphoneos-arm64
com.Purifyads,Purifyads,1.0,iphoneos-arm64e
com.qimiao.WCRefine,WCRefine,1.1-9,iphoneos-arm64e
com.qwq.wcautoclaimhb,微信自动领取私聊红包,1.0,iphoneos-arm64e
com.RestoreFont,字体一键替换,1.0,iphoneos-arm64e
com.squidforce.snapper3.plugins,Plugins For Snapper3,1.2,iphoneos-arm64e
com.starry6.lunanoad,汽水音乐NoAds,1.1,iphoneos-arm64e
com.sunshinesong.split-view-pro,split-view-pro,1.4.0,iphoneos-arm64e
com.susu.snapper3.picta,Picta,1.0,iphoneos-arm64
com.tencent.themebox,主题盒子,2.2.2,iphoneos-arm64e
com.thermal.hook,IOSThermal,1.0,iphoneos-arm64e
com.wechat-push-msg-page,微信消息直达,0.0.5,iphoneos-arm64e
com.wkk.-1,清理deb后缀(自用),1.0,iphoneos-arm64e
com.wkk.12306hook,铁路12306NoAds,1.0,iphoneos-arm64e
com.wkk.aaaaaaaaaa,AAAAAA插件配置说明（必看）,1.0-1,iphoneos-arm64e
com.wkk.actionbarreborn,APP内键盘底部扩展（TrollFools注入）,1.0-1,iphoneos-arm64e
com.wkk.adsspee,VideoAdsSpeed,1.1.3,iphoneos-arm64e
